"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"07.08.2018","573,91","573,95","575,45","573,38","71,83M","0,24%"
"06.08.2018","572,56","572,52","573,61","570,54","60,22M","0,05%"
"03.08.2018","572,29","571,78","573,34","570,84","81,06M","0,41%"
"02.08.2018","569,95","570,63","572,54","567,87","146,48M","-0,51%"
"01.08.2018","572,88","574,68","575,49","571,96","88,91M","-0,24%"
"31.07.2018","574,25","573,06","575,68","572,87","90,50M","0,18%"
"30.07.2018","573,19","572,65","574,97","572,57","70,83M","-0,53%"
"27.07.2018","576,24","574,23","576,90","573,88","83,96M","0,45%"
"26.07.2018","573,66","574,92","575,65","571,81","111,38M","0,13%"
"25.07.2018","572,90","572,83","574,16","571,64","75,10M","-0,13%"
"24.07.2018","573,62","572,46","575,67","570,55","87,60M","0,55%"
"23.07.2018","570,48","570,61","572,19","568,56","63,23M","-0,30%"
"20.07.2018","572,20","569,15","573,01","566,86","104,85M","0,35%"
"19.07.2018","570,21","568,28","570,71","567,19","80,20M","0,36%"
"18.07.2018","568,19","563,95","568,83","563,49","78,28M","1,61%"
"17.07.2018","559,19","558,19","559,96","556,02","71,65M","0,15%"
"16.07.2018","558,35","560,86","561,40","557,29","56,84M","-0,32%"
"13.07.2018","560,12","558,42","560,80","558,42","58,16M","0,56%"
"12.07.2018","557,02","554,46","557,04","552,44","68,18M","0,68%"
"11.07.2018","553,25","556,54","556,84","553,25","82,08M","-1,31%"
"10.07.2018","560,58","559,03","561,57","558,22","69,70M","0,51%"
"09.07.2018","557,71","557,00","558,85","556,27","72,29M","0,74%"
"06.07.2018","553,62","555,09","555,31","550,24","83,64M","0,21%"
"05.07.2018","552,44","549,01","556,21","549,01","85,93M","0,59%"
"04.07.2018","549,22","548,73","550,36","547,92","63,48M","-0,15%"
"03.07.2018","550,06","549,54","551,66","547,17","71,27M","0,65%"
"02.07.2018","546,51","545,46","548,86","544,09","78,70M","-0,94%"
"29.06.2018","551,68","553,11","554,96","551,68","98,72M","0,77%"
"28.06.2018","547,48","549,66","552,41","544,12","83,38M","-0,85%"
"27.06.2018","552,19","547,48","554,92","543,87","93,03M","0,90%"
"26.06.2018","547,27","548,99","550,57","547,08","76,90M","0,08%"
"25.06.2018","546,81","556,73","558,20","546,81","63,22M","-2,41%"
"22.06.2018","560,34","553,70","560,34","553,61","89,86M","1,40%"
"21.06.2018","552,60","556,82","558,25","551,16","99,59M","-0,43%"
"20.06.2018","554,97","557,46","558,97","554,97","101,63M","0,07%"
"19.06.2018","554,57","553,12","555,51","551,72","96,62M","-0,91%"
"18.06.2018","559,68","560,27","561,43","556,50","87,28M","-0,36%"
"15.06.2018","561,71","567,83","569,16","561,71","181,90M","-1,03%"
"14.06.2018","567,53","560,66","568,51","557,39","113,14M","0,63%"
"13.06.2018","563,95","563,50","566,38","563,16","91,86M","0,17%"
"12.06.2018","563,01","567,06","567,57","562,38","78,15M","-0,32%"
"11.06.2018","564,84","562,29","565,49","561,70","85,49M","0,86%"
"08.06.2018","560,03","558,04","561,39","555,77","97,34M","-0,36%"
"07.06.2018","562,04","565,23","565,23","559,96","97,15M","-0,04%"
"06.06.2018","562,24","563,24","564,62","558,26","90,80M","-0,10%"
"05.06.2018","562,78","561,37","565,95","560,91","92,18M","0,19%"
"04.06.2018","561,70","562,21","563,53","560,82","88,80M","0,45%"
"01.06.2018","559,18","556,52","560,86","556,43","99,17M","1,14%"
"31.05.2018","552,85","558,82","559,26","552,36","143,47M","-0,85%"
"30.05.2018","557,60","554,88","557,60","553,20","102,43M","0,51%"
"29.05.2018","554,77","556,81","558,20","550,38","126,16M","-0,91%"
"28.05.2018","559,84","564,84","565,34","558,12","60,39M","-0,52%"
"25.05.2018","562,77","564,32","565,31","559,96","97,01M","0,20%"
"24.05.2018","561,62","565,49","567,85","560,48","117,61M","-0,61%"
